Facility.Name,Facility.Street,latitude,longitude
NEW 2000 AUTO       ,2315 12TH AVE       ,34.16677,-92.589791
NEW GUJRAT AUTO     ,608 WEST 47TH STREET,40.764442,-73.996724
NEW L&W AUTO REPAIR ,39 KENMARE STREET   ,40.720932,-73.995332
NISSAN OF MANHATTAN ,646 11TH AVE        ,43.132049,-95.159883
NYC TIRE AND AUTO   ,514 WEST 39TH STREET,40.758132,-73.997799
NY PRESTIGE INC     ,2013 THIRD AVENUE   ,40.794407,-73.942109
NYC FIVE STAR       ,456 ELEVENTH AVE    ,40.757693,-74.000184
OASIS AUTO REPAIR&  ,431 W 202ND ST      ,40.86131,-73.920194
NYC AUTO BODY INC   ,2451 FIRST AVENUE   ,40.802437,-73.931244
NYC STAR AUTO CORP  ,519 W 47TH ST       ,40.763451,-73.994081
OPEN ROAD VOLKSWAGEN,802 11TH AVENUE     ,40.769209,-73.991605
P&N TOWING COLLISION,432 W 203RD STREET  ,40.861507,-73.920031
PAPA AUTO REPAIR INC,545 WEST 37TH STREET,40.757498,-73.999551
P&M AUTO BODY&      ,432 W 203 ST        ,38.654073,-90.133682
PARS AUTO REPAIR    ,517 WEST 45TH STREET,40.762124,-73.994997
PERFECTION BODYWORK ,334 EAST 126TH ST   ,40.802498,-73.931493
PARAGON AUTO REPAIR ,441 WEST 37TH STREET,40.756268,-73.996627
PARK AVENUE CAR     ,1353 PARK AVENUE    ,40.789831,-73.949418
PORSCHE MANHATTAN   ,711 11TH AVENUE     ,40.76653,-73.994821
PLEASANT AUTO REPAIR,355 E 119TH ST      ,40.798293,-73.934307
PRESTIGE AUTO NYC   ,2015 3RD AVENUE     ,40.794492,-73.942185
POTAMKIN HYUNDAI    ,2495 SECOND AVE     ,40.804618,-73.933206
POTAMKIN NEW YORK   ,2495 SECOND AVE     ,40.804618,-73.933206
POTAMKIN HONDA      ,706 11TH AVE        ,43.131659,-95.160255
POTAMKIN CADILLAC   ,706 11TH AVENUE     ,40.765903,-73.993882
PRECISION AUTO      ,306 EAST 106TH ST   ,40.790149,-73.942077
PPL CAPITAL GROUP   ,620 WEST 52ND STREET,40.767489,-73.995163
PUJOLS AUTO REPAIRS ,2238 AMSTERDAM AVE  ,40.842153,-73.935763
POTAMKIN CADILLAC   ,706 11TH AVENUE     ,40.765903,-73.993882
RAZ AUTO SERVICE INC,606 W 47TH STREET   ,39.042445,-94.593955
REYES AUTO CENTER   ,400 W 202ND STREET  ,40.860445,-73.9198
RIVER SIDE AUTO     ,334 EAST 126TH ST   ,40.802498,-73.931493
SAFELITE AUTO GLASS ,446 WEST 54TH STREET,40.766664,-73.98926
SAFELITE AUTO GLASS ,446 WEST 54TH STREET,40.766664,-73.98926
SHELL SERVICE CENTER,235 ST NICHOLAS AVE ,40.808298,-73.953321
SEQUE AUTO REPAIR   ,609 WEST 47TH STREET,40.764416,-73.996678
SHELL AUTO CARE     ,232 W 145TH STREET  ,40.821891,-73.940575
SPEED MOTORCYCLE LLC,327 EAST 84TH STREET,40.776239,-73.951364
SMART CENTER        ,770 11TH AVENUE     ,40.768061,-73.992696
SPORTS & CLASSIC LTD,517 EAST 73RD ST    ,40.767282,-73.952048
STEVES DETAILING INC,544 WEST 38TH STREET,40.757784,-73.999499
STEVEN & FRANCINES  ,527-531 W 36TH ST   ,40.756645,-73.999534
STEVES DIAGNOSTIC & ,3803 10TH AVE       ,43.096931,-94.442716
SPORTS & CLASSIC    ,512 E 74TH STREET   ,40.767548,-73.951909
SWAT AUTO CLINIC INC,612 WEST 47TH STREET,39.042619,-94.594305
T&J AUTO REPAIRS INC,348 BOWERY          ,40.726668,-73.992078
TESLA MOTORS NEW    ,511 WEST 25TH STREET,40.749485,-74.003887
TOYOTA SCION OF     ,645 11TH AVENUE     ,40.764337,-73.996213
TOWS R US LLC       ,514 WEST 39TH STREET,40.758132,-73.997799
TOWN CAR REPAIR CORP,1353 PARK AVE       ,41.78414,-71.457802
UPTOWN CHEVROLET    ,2485 SECOND AVE     ,40.804477,-73.932684
UPTOWN SERVICE      ,2326 FIRST AVENUE   ,40.798123,-73.933692
UPTOWN MOTORS LTD   ,327 E 84 ST         ,42.811698,-85.6556
VESPA SOHO          ,13-17 CROSBY ST     ,41.090324,-73.927981
WAHLAHS AUTO REPAIR ,514 WEST 39TH STREET,40.758132,-73.997799
WEST VILLAGE AUTO   ,743 GREENWICH STREET,40.735467,-74.006697
WESTSIDE EXPRESS    ,456 11TH AVE        ,43.133756,-95.158015
ZAM ZAM AUTO REPAIR ,519 WEST 38TH STREET,40.757666,-73.998376
XJR AUTO SERVICES   ,441 WEST 37TH ST    ,40.756268,-73.996627
155 AUTO SALES CORP ,89 ST NICHOLAS PLACE,40.830054,-73.940809
6TH STREET SPECIALS ,703 EAST 6TH ST     ,32.468968,-86.454118
145TH STREET AUTO   ,150 W 145TH STREET  ,40.820886,-73.938275
155TH STREET AUTO   ,89 ST NICHOLAS PLACE,40.830054,-73.940809
118 STREET AUTOMTIVE,424 EAST 118TH ST   ,40.796708,-73.93353
155TH STREET AUTO   ,3740 BROADWAY       ,40.832952,-73.945248
2000 AUTO SERVICE   ,2315 12TH AVENUE    ,41.499444,-90.567856
4519 BROADWAY INC   ,4519 BROADWAY       ,40.859234,-73.931795
ZOHRA AUTO REPAIR   ,521 WEST 38 STREET  ,39.824728,-86.167919
786 BEST AUTO CENTER,73 EAST 130TH STREET,40.80868,-73.937147
630 AUTO CENTER     ,630 WEST 131ST ST   ,40.818107,-73.958844
30TH STREET SERVICE ,309 11TH AVENUE     ,40.753235,-74.004465
1995 FIRST AV STA   ,1851 PARK AV        ,40.806022,-73.937866
